fold,mode,category,slice,rows,ap
fold_02,middle,Красота и гигиена,all,4224,0.7999064210954409
fold_02,middle,Красота и гигиена,any_trunc,724,0.7617993674723804
fold_02,middle,Мебель,all,4565,0.7262056782114749
fold_02,middle,Мебель,any_trunc,1641,0.6130438436070039
fold_02,middle,Музыкальные инструменты,all,4375,0.854740714531883
fold_02,middle,Музыкальные инструменты,any_trunc,50,0.6160714285714286
fold_02,middle,Обувь,all,4622,0.5523604911723218
fold_02,middle,Обувь,any_trunc,115,0.3889423771364501
fold_02,middle,Одежда,all,5777,0.575227421558882
fold_02,middle,Одежда,any_trunc,148,0.5276439307468533
fold_02,middle,Продукты питания,all,4581,0.8745253596114566
fold_02,middle,Продукты питания,any_trunc,915,0.7923237492519889
fold_02,middle,Спорт и отдых,all,4417,0.7470533096537193
fold_02,middle,Спорт и отдых,any_trunc,274,0.6192947610455283
fold_02,middle,Строительство и ремонт,all,4495,0.8102865250201521
fold_02,middle,Строительство и ремонт,any_trunc,637,0.7691007532816533
fold_02,middle,Товары для животных,all,4534,0.8825262908282054
fold_02,middle,Товары для животных,any_trunc,1005,0.8278039866800059
fold_02,middle,Хобби и творчество,all,4488,0.937445465242699
fold_02,middle,Хобби и творчество,any_trunc,84,0.7114173038768588
fold_02,middle,Электроника,all,4906,0.7360592320638398
fold_02,middle,Электроника,any_trunc,1644,0.541372544627181
fold_02,middle,Ювелирные изделия,all,4824,0.555659037459434
fold_02,middle,Ювелирные изделия,any_trunc,413,0.5430452778151199
